movie_id,title,language,genre,overview,poster_url
1,Rising Destiny,Korean,Action|SciFi,"Rising Destiny is a action and scifi story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
2,Fallen Revenge,Telugu,Fantasy|Thriller,"Fallen Revenge is a fantasy and thriller story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
3,Crimson Truth,Spanish,Crime|SciFi,"Crimson Truth is a crime and scifi story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
4,Hidden Dream,Malayalam,Romance|Drama,"Hidden Dream is a romance and drama story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
5,Shadow Fire,Tamil,Adventure|Action,"Shadow Fire is a adventure and action story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
6,Rising Empire,Hindi,Comedy|Thriller,"Rising Empire is a comedy and thriller story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
7,Shadow Path,Telugu,SciFi|Fantasy,"Shadow Path is a scifi and fantasy story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
8,Broken Path,French,Fantasy|Romance,"Broken Path is a fantasy and romance story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
9,Lost Warrior,French,Action|Action,"Lost Warrior is a action and action story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
10,Rising Legend,Korean,Comedy|Romance,"Rising Legend is a comedy and romance story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
11,Lost Fire,Tamil,Thriller|Mystery,"Lost Fire is a thriller and mystery story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
12,Lost Legend,Kannada,Action|Romance,"Lost Legend is a action and romance story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
13,Silent Revenge,Telugu,Drama|Thriller,"Silent Revenge is a drama and thriller story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
14,Crimson Dream,Kannada,Mystery|Crime,"Crimson Dream is a mystery and crime story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
15,Last Night,Hindi,Drama|Mystery,"Last Night is a drama and mystery story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
16,Broken Fire,French,Thriller|Mystery,"Broken Fire is a thriller and mystery story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
17,Golden Journey,Korean,Romance|Mystery,"Golden Journey is a romance and mystery story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
18,Secret Legend,Korean,Comedy|Adventure,"Secret Legend is a comedy and adventure story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
19,Secret Legend,Spanish,Fantasy|Thriller,"Secret Legend is a fantasy and thriller story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
20,Iron Night,Japanese,Mystery|Crime,"Iron Night is a mystery and crime story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
21,Broken Warrior,Japanese,Mystery|Comedy,"Broken Warrior is a mystery and comedy story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
22,Lost Fire,Hindi,SciFi|Comedy,"Lost Fire is a scifi and comedy story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
23,Burning Promise,French,Drama|Drama,"Burning Promise is a drama and drama story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
24,Rising Fire,Korean,Mystery|Crime,"Rising Fire is a mystery and crime story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
25,Burning Empire,Hindi,SciFi|Adventure,"Burning Empire is a scifi and adventure story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
26,Golden Warrior,Tamil,Comedy|Fantasy,"Golden Warrior is a comedy and fantasy story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
27,Broken Storm,French,Crime|Drama,"Broken Storm is a crime and drama story about courage, conflict, and destiny.",https://image.tmdb.org/t/p/w500/sampleposter.jpg
